zip_code,year,month,subsidy_total_cost,subsidy_total_kw,subsidy_total_paid,subsidy_count
92139,2015.00,Jun,12438.47,2.23,6684.00,1
92240,2015.00,Jun,116478.37,24.41,116478.37,8
92363,2015.00,Jun,15523.21,2.75,15523.21,1
92392,2015.00,Jun,17016.11,3.14,17016.11,1
92707,2015.00,Jun,22051.59,3.54,22051.59,1
93227,2015.00,Jun,29983.65,6.41,17121.15,2
93422,2015.00,Jun,12635.44,2.56,12635.44,1
93534,2015.00,Jun,19739.70,3.12,19739.70,1
93638,2015.00,Jun,28701.49,5.98,22698.99,2
93646,2015.00,Jun,13278.01,2.67,7923.01,1
93662,2015.00,Jun,33215.00,4.75,33215.00,1
93701,2015.00,Jun,10001.41,1.78,6431.41,1
93722,2015.00,Jun,28370.19,6.05,22367.69,2
93905,2015.00,Jun,13493.59,2.56,13493.59,1
93907,2015.00,Jun,12829.10,2.74,7159.10,1
93927,2015.00,Jun,12987.93,2.70,12987.93,1
93930,2015.00,Jun,85830.60,16.02,82899.73,6
94124,2015.00,Jun,16381.50,2.79,13252.50,1
94134,2015.00,Jun,29999.65,4.38,22834.75,2
94603,2015.00,Jun,11754.23,2.25,7134.23,1
94801,2015.00,Jun,14264.60,2.05,10064.60,1
95023,2015.00,Jun,16195.57,3.42,16195.57,1
95482,2015.00,Jun,17133.21,4.37,17133.21,1
95492,2015.00,Jun,19993.76,3.37,19188.40,2
95551,2015.00,Jun,15560.91,3.49,15560.91,1
95928,2015.00,Jun,9464.34,1.53,9464.34,1
95961,2015.00,Jun,11396.32,1.75,11396.32,1
95973,2015.00,Jun,17059.79,3.98,17059.79,1
96080,2015.00,Jun,29981.97,6.17,29981.97,2
93405,2015.00,Jul,15843.77,3.41,15843.77,1
93422,2015.00,Jul,14972.63,2.74,13015.00,1
93446,2015.00,Jul,10759.33,2.07,10759.33,1
93638,2015.00,Jul,14299.80,2.99,8297.30,1
93927,2015.00,Jul,38868.26,6.98,38868.26,3
93930,2015.00,Jul,35378.60,6.28,35378.60,2
94124,2015.00,Jul,14264.07,1.87,13118.00,1
94597,2015.00,Jul,13750.12,2.55,7659.00,1
94601,2015.00,Jul,11178.33,2.00,11178.33,1
94606,2015.00,Jul,11186.40,2.18,10369.25,1
94801,2015.00,Jul,12088.75,2.54,7013.75,1
95122,2015.00,Jul,15458.34,3.27,15458.34,1
95482,2015.00,Jul,12839.84,3.06,12839.84,1
95490,2015.00,Jul,10999.13,2.18,10999.13,1
95492,2015.00,Jul,9707.45,1.50,9707.45,1
95519,2015.00,Jul,13777.43,3.06,13777.43,1
96013,2015.00,Jul,13315.69,2.62,13315.69,1
96080,2015.00,Jul,28351.24,5.89,28351.24,2
90059,2015.00,Aug,22071.46,3.79,14485.21,1
90061,2015.00,Aug,21616.39,3.79,14030.14,1
90221,2015.00,Aug,14367.86,2.43,9555.36,1
90222,2015.00,Aug,51195.33,8.28,40039.08,3
90262,2015.00,Aug,58404.08,8.65,39571.45,4
90802,2015.00,Aug,21904.04,3.79,21904.04,1
90805,2015.00,Aug,28116.50,5.51,17082.75,3
90806,2015.00,Aug,56031.91,8.72,47724.27,4
91752,2015.00,Aug,19563.79,4.80,10008.79,1
91786,2015.00,Aug,20397.03,4.80,20397.03,1
91911,2015.00,Aug,19936.32,3.79,11364.00,1
92114,2015.00,Aug,33445.99,5.28,15828.00,2
92154,2015.00,Aug,16538.12,3.27,9822.00,1
92173,2015.00,Aug,14562.91,2.77,8298.00,1
92234,2015.00,Aug,25494.11,4.79,25494.11,1
92240,2015.00,Aug,48397.15,10.75,43847.15,4
92260,2015.00,Aug,20144.74,4.79,20144.74,1
92262,2015.00,Aug,19797.62,3.88,19797.62,1
92311,2015.00,Aug,140191.44,27.07,95636.44,8
92345,2015.00,Aug,21532.51,4.37,21532.51,1
92363,2015.00,Aug,86933.29,15.34,86933.29,4
92404,2015.00,Aug,59016.06,10.49,37911.06,4
92405,2015.00,Aug,37473.70,7.50,27918.70,3
92407,2015.00,Aug,45616.97,7.32,34880.72,3
92543,2015.00,Aug,15694.15,2.62,15694.15,1
92553,2015.00,Aug,21134.74,4.48,12034.74,1
92570,2015.00,Aug,17741.17,4.34,9096.17,1
92571,2015.00,Aug,20059.07,4.80,20059.07,1
92701,2015.00,Aug,22149.97,3.79,22149.97,1
92704,2015.00,Aug,16485.00,2.94,16485.00,1
93202,2015.00,Aug,13792.11,2.67,8437.11,1
93219,2015.00,Aug,29279.61,4.86,19435.86,1
93227,2015.00,Aug,234683.11,49.51,185805.61,16
93230,2015.00,Aug,18312.97,3.71,10875.47,1
93247,2015.00,Aug,55980.78,9.68,36599.53,3
93257,2015.00,Aug,103702.70,22.65,90402.70,7
93270,2015.00,Aug,28064.40,4.83,18299.40,1
93274,2015.00,Aug,12827.74,2.81,7052.74,1
93286,2015.00,Aug,13216.84,2.67,7861.84,1
93291,2015.00,Aug,17226.21,3.41,10226.21,1
93292,2015.00,Aug,27162.59,4.83,27162.59,1
93514,2015.00,Aug,222307.50,38.68,221937.87,13
93534,2015.00,Aug,126236.62,19.78,124449.45,7
93535,2015.00,Aug,68033.26,11.03,64691.71,4
93591,2015.00,Aug,21180.97,3.79,21180.97,1
93701,2015.00,Aug,15819.45,2.99,9388.81,1
93905,2015.00,Aug,24063.59,4.26,12786.00,2
93927,2015.00,Aug,53720.37,10.00,39195.20,4
93930,2015.00,Aug,35369.63,6.61,19818.00,3
93960,2015.00,Aug,12211.34,2.34,12211.34,1
94602,2015.00,Aug,11129.08,1.97,5895.00,1
94607,2015.00,Aug,17199.00,3.33,17199.00,1
