ZIP,total_subsidy,total_kW,project_count,low_income_subsidy,low_income_kW,low_projects,equity_share
90602,2886894.14,2038.577,45,119471.0,236.665,2.0,0.041383921337690616
90603,382865.0,652.606,112,0.0,0.0,0.0,0.0
90604,375771.55,523.293,114,214813.55,66.459,10.0,0.5716599620168158
90605,322527.0,554.942,106,279784.0,192.055,3.0,0.8674746610361304
90606,114334.0,207.53,29,125749.0,72.27,8.0,1.0998390679937726
90620,2458985.0,2076.78,183,90836.0,80.67,3.0,0.0369404449396804
90621,608089.0,1386.303,91,790740.0,538.249,6.0,1.3003688604793049
90623,721037.0,1088.017,137,320947.0,163.8,2.0,0.4451186277541929
90630,3043386.7,3892.054,321,88512.92,69.375,7.0,0.02908369153351429
90631,4775533.78,3890.8450000000003,304,526272.0,520.8,4.0,0.11020171236229848
90637,3835.0,2.09,1,0.0,0.0,0.0,0.0
90638,4547725.4,3887.205,180,258429.0,91.47,2.0,0.0568259904170995
90639,9024.0,11.7,1,0.0,0.0,0.0,0.0
90640,1328941.0,2220.119,70,65877.0,24.009999999999998,8.0,0.0495710494295834
90650,3743310.5,3308.64,121,215625.0,79.315,18.0,0.05760275563568665
90657,10056.96,4.725,1,0.0,0.0,0.0,0.0
90660,3286575.0,2949.9559999999997,51,628507.0,352.65,11.0,0.19123464396826484
90670,2668610.0,2826.605,33,480565.0,341.71500000000003,4.0,0.18008064123270168
90680,120901.14,160.465,30,194961.14,188.125,4.0,1.612566597800484
90700,3198.0,2.025,1,0.0,0.0,0.0,0.0
90701,133595.0,451.062,32,0.0,0.0,0.0,0.0
90703,2605194.71,4131.7699999999995,273,0.0,0.0,0.0,0.0
90704,76964.0,63.9,14,0.0,0.0,0.0,0.0
90706,1798498.0,1746.479,104,349375.0,332.625,8.0,0.1942593208332731
90710,40458.0,134.117,27,0.0,0.0,0.0,0.0
90711,23328.0,11.424,2,0.0,0.0,0.0,0.0
90712,4218493.0,3850.061,127,156324.0,87.14,2.0,0.037056835225280686
90713,1222575.04,1537.795,134,0.0,0.0,0.0,0.0
90715,102437.0,165.635,38,0.0,0.0,0.0,0.0
90716,1323932.0,823.9000000000001,9,1259354.0,565.6,1.0,0.951222570343492
90717,253333.0,307.248,63,0.0,0.0,0.0,0.0
90720,2430864.0100000002,2552.7605,274,0.0,0.0,0.0,0.0
90723,888512.61,745.893,27,598409.61,382.88100000000003,19.0,0.6734959113298347
90731,5290.0,11.21,2,0.0,0.0,0.0,0.0
90740,4186256.0,3238.7110000000002,167,0.0,0.0,0.0,0.0
90742,20460.0,22.155,4,0.0,0.0,0.0,0.0
90743,17916.0,24.072,5,0.0,0.0,0.0,0.0
90745,2904467.5300000003,5355.664,87,754623.0,567.335,16.0,0.2598145760644809
90746,897091.0,1129.422,50,110514.0,40.565,10.0,0.12319151568792909
90755,245696.0,498.92,31,116526.0,44.620000000000005,3.0,0.47426901536858557
90801,4387.0,2.66,1,0.0,0.0,0.0,0.0
90802,1468055.04,2325.076,27,118934.04000000001,112.375,2.0,0.08101470092020528
90803,661230.03,849.62,148,0.0,0.0,0.0,0.0
90804,98008.95999999999,128.242,35,70922.95999999999,32.145,6.0,0.7236375123254037
90805,6985426.26,2813.764,156,7123235.67,4117.14,138.0,1.019728131809096
90806,514663.37,357.613,78,515422.28,134.818,46.0,1.0014745755074819
90807,1003527.05,983.357,196,204459.4,53.272999999999996,13.0,0.20374079602537867
90808,2246893.2,3464.512,334,63801.490000000005,19.66,5.0,0.02839542618225023
90810,1993563.73,2833.755,72,2150528.73,1600.273,55.0,1.0787358826998723
90813,1045409.6699999999,1432.15,46,865513.67,368.95,52.0,0.8279181787174401
90814,309914.74,355.404,78,6492.0,2.44,1.0,0.020947696776216582
90815,1489352.06,2824.6059999999998,285,59205.61,14.02,3.0,0.03975259550116041
90822,247782.0,178.64,1,0.0,0.0,0.0,0.0
90846,21769.0,63.03,1,0.0,0.0,0.0,0.0
90914,4001.0,2.52,1,0.0,0.0,0.0,0.0
91001,1196207.25,1666.96,308,20573.09,4.505,1.0,0.01719859999176564
91006,1968276.99,2411.515,320,9507.0,3.52,1.0,0.004830112859267841
91007,887685.04,1869.681,188,0.0,0.0,0.0,0.0
91008,240518.0,299.521,20,0.0,0.0,0.0,0.0
91010,2205839.06,1306.657,96,1141733.06,474.32,20.0,0.5175958122710911
91011,1922070.17,2119.487,305,0.0,0.0,0.0,0.0
91016,1261380.76,1096.685,147,79138.76,45.173,6.0,0.06273978683486499
91020,52004.0,73.117,17,0.0,0.0,0.0,0.0
91024,486213.76,635.674,107,0.0,0.0,0.0,0.0
91030,747688.74,896.0169999999999,145,0.0,0.0,0.0,0.0
91101,21200.0,15.425,5,0.0,0.0,0.0,0.0
91104,78428.0,132.236,29,14808.0,5.355,1.0,0.1888101188351099
91107,504829.0,681.255,93,0.0,0.0,0.0,0.0
91108,694834.0,1004.58,144,0.0,0.0,0.0,0.0
91109,3745905.0,2709.92,4,0.0,0.0,0.0,0.0
91214,1583861.0,1761.788,167,0.0,0.0,0.0,0.0
91301,4880438.42,5899.24,421,0.0,0.0,0.0,0.0
91302,5699137.29,5798.678,317,0.0,0.0,0.0,0.0
91304,104373.0,464.39,6,0.0,0.0,0.0,0.0
91307,387240.0,521.651,62,0.0,0.0,0.0,0.0
91310,310580.38,1196.008,18,72674.0,74.5,1.0,0.23399417567845077
91311,273305.0,356.217,42,0.0,0.0,0.0,0.0
91319,79117.0,91.23,8,0.0,0.0,0.0,0.0
91320,3973717.4895,5435.804,530,0.0,0.0,0.0,0.0
91321,1383650.67,2309.58,258,0.0,0.0,0.0,0.0
91326,10110.66,5.04,1,0.0,0.0,0.0,0.0
91340,1205502.05,1729.671,55,44070.0,73.8,5.0,0.03655738287628793
91342,67237.0,64.089,11,41193.0,15.290000000000001,4.0,0.6126537471927659
91350,5844757.14,8080.853,564,0.0,0.0,0.0,0.0
91351,1777729.3,2879.931,263,0.0,0.0,0.0,0.0
91354,1505090.0899999999,2707.95,366,0.0,0.0,0.0,0.0
91355,6326442.23,7020.853,254,901342.0,556.25,3.0,0.14247217744688076
91359,454.0,2.75,1,0.0,0.0,0.0,0.0
91360,4904298.1,7401.42,501,217082.53,146.515,6.0,0.044263730624368045
91361,5023688.88,6087.421,266,0.0,0.0,0.0,0.0
91362,5159060.86,5600.188,438,1187186.53,1029.6100000000001,18.0,0.2301167910626276
91364,65509.94,103.075,14,0.0,0.0,0.0,0.0
91377,550222.44,1258.274,178,0.0,0.0,0.0,0.0
91380,1088.0,6.25,1,0.0,0.0,0.0,0.0
91381,3977156.38,5132.019,447,0.0,0.0,0.0,0.0
91384,1810415.17,4087.894,520,0.0,0.0,0.0,0.0
91387,2828853.26,4656.476,563,14244.0,5.185,1.0,0.005035255876085987
91390,2526310.55,4368.959,622,177092.0,186.03,1.0,0.07009906204920056
91423,16020.0,8.4,1,0.0,0.0,0.0,0.0
91608,327286.0,126.0,1,0.0,0.0,0.0,0.0
91701,2472586.27,5386.7970000000005,445,1324190.0,955.205,4.0,0.5355485533776745
91702,77644.44,122.885,19,0.0,0.0,0.0,0.0
91706,28203487.0,18419.146,116,380052.0,151.695,25.0,0.013475355015498616
91708,6559826.0,3666.9590000000003,50,0.0,0.0,0.0,0.0
91709,2769970.59,4191.728,615,0.0,0.0,0.0,0.0
91710,9587954.46,9079.715,455,266327.51,65.77,15.0,0.027777302354854948
91711,3267501.95,4135.189,486,0.0,0.0,0.0,0.0
91714,3658.0,2.25,1,0.0,0.0,0.0,0.0
91715,214858.0,1500.0,1,0.0,0.0,0.0,0.0
91722,1851887.38,1226.0,101,35603.380000000005,10.05,2.0,0.019225456355774728
91723,442119.0,689.72,45,24813.0,6.3100000000000005,2.0,0.05612289903849416
91724,660155.62,1179.05,194,151036.0,156.48000000000002,2.0,0.22878847869234228
91729,2426985.0,1178.24,3,0.0,0.0,0.0,0.0
91730,6001820.83,10231.4,223,5071133.83,3648.695,31.0,0.844932558574895
91731,2061154.0,3300.015,39,352066.0,183.69500000000002,4.0,0.17081013839819828
91732,329634.31,273.347,60,270166.31,79.051,14.0,0.8195940222363381
91733,640520.6900000001,1183.204,46,149904.0,52.35,12.0,0.23403459457336184
91737,2068576.69,2886.197,362,77792.0,80.01,1.0,0.0376065341817228
91739,2073159.94,4454.393,514,57624.08,13.7,3.0,0.027795289156513414
91740,3276315.7,2219.604,149,21702.0,4.165,1.0,0.006623903795351589
91741,919919.59,1793.638,262,0.0,0.0,0.0,0.0
91744,1172464.18,1196.332,111,837070.18,415.32,23.0,0.7139409410358277
91745,3345416.2800000003,4099.329,320,225101.28,137.905,10.0,0.0672864783213167
91746,1498088.56,3559.422,46,867377.56,279.545,20.0,0.5789895091382314
91748,1390757.835,2309.898,242,562952.0,394.53000000000003,2.0,0.40478075034536837
91750,10698554.5,9050.807,331,559354.0,1001.46,5.0,0.052283137876243
91752,6188561.5600000005,6054.461,255,52460.64,17.73,4.0,0.008477032908435671
91754,2511776.0,1614.217,79,309830.0,202.65,3.0,0.12335096760220657
91755,128857.64,239.427,53,107033.25,108.7,2.0,0.8306317731723164
91759,3778.0,12.01,3,0.0,0.0,0.0,0.0
91761,23076697.740000002,14725.344,202,1381638.54,729.735,76.0,0.059871588022108395
91762,2270270.74,3651.315,128,2481820.74,1271.535,66.0,1.0931827188152898
91763,2684740.5,3083.97,71,3944482.0,3024.65,30.0,1.4692228168793222
91764,8132266.46,7503.534000000001,75,957959.37,367.815,63.0,0.117797341578992
91765,2581850.0,5017.7609999999995,327,564412.0,555.84,1.0,0.2186075875825474
91766,3855093.5,8250.31,159,888400.5,460.34999999999997,25.0,0.230448496255668
91767,2048706.0,3404.606,100,960730.0,670.005,17.0,0.46894478758787256
91768,3298554.0,3781.774,70,698046.0,430.455,18.0,0.21162181974283276
91769,1390480.07,1183.488,2,0.0,0.0,0.0,0.0
91770,1517467.0,1585.858,108,256296.0,89.73,7.0,0.1688972478478939
91773,2361730.62,3307.712,197,619062.0,511.435,3.0,0.26212218902425033
91775,692171.79,2080.203,133,13254.0,4.88,1.0,0.019148425566433442
91776,542562.0,2070.297,80,5790.0,2.13,1.0,0.010671591449456468
91780,821341.0,1115.479,141,0.0,0.0,0.0,0.0
91784,3142957.8899999997,4116.878,380,17798.74,3.9,1.0,0.005663053920203813
91786,4539537.3,5833.8730000000005,182,640236.76,204.37,23.0,0.14103568661061558
91788,3759.0,2.88,1,0.0,0.0,0.0,0.0
91789,4227335.77,7240.85,379,0.0,0.0,0.0,0.0
91790,749614.24,1715.34,122,343459.0,192.61,6.0,0.4581809972019742
91791,776484.1,1423.355,205,12360.0,4.455,1.0,0.01591790482251987
91792,471889.0,897.171,47,276464.0,98.11,4.0,0.5858665915077487
91801,218006.58,387.563,75,101734.0,96.97,4.0,0.46665563947656996
91803,674002.39,458.47900000000004,43,0.0,0.0,0.0,0.0
91901,1957722.3900000001,3244.333,372,43565.0,147.54,3.0,0.022252899707603586
91902,715806.0,2026.512,237,14886.0,5.6,1.0,0.02079613750094299
91903,5535.0,5.88,1,0.0,0.0,0.0,0.0
91905,85196.0,150.618,14,241539.0,95.145,22.0,2.8350978919198084
91906,306798.17,750.548,20,414281.17,155.155,33.0,1.3503378132926933
91909,26330.0,28.98,8,0.0,0.0,0.0,0.0
91910,5560256.65,8753.333,257,112608.09999999999,169.05,12.0,0.020252320547109993
91911,5743136.11,4046.743,159,1713329.03,1286.52,23.0,0.29832638425837343
91913,1692934.0,3723.447,165,0.0,0.0,0.0,0.0
91914,822756.7,1917.508,142,0.0,0.0,0.0,0.0
91915,4883498.0,3544.8195,109,0.0,854.9100000000001,3.0,0.0
91916,163418.0,148.078,20,0.0,0.0,0.0,0.0
91917,61206.0,69.518,10,0.0,0.0,0.0,0.0
91931,3554.0,18.880000000000003,3,0.0,0.0,0.0,0.0
